id, runtime, darcy_flux, porosity, bulk_conductivity, temperature, voltage, length, heating_time, buildup_time, rotate, bool_heat1, bool_heat2, bool_heat3, bool_heat4
gw105, 5000, 0.0, 0.41, 1.6, 20, 80, 28, 1800, 2, 0, 1, 0, 1, 0
gw106, 5000, 0.0, 0.41, 1.6, 20, 50, 28, 1800, 2, 0, 1, 0, 1, 0
gw107, 5000, 0.0, 0.41, 1.6, 20, 20, 28, 1800, 2, 0, 1, 0, 1, 0
gw108, 5000, 0.0, 0.41, 1.6, 20, 400, 28, 1800, 2, 0, 1, 0, 1, 0
# ZERO FLOW VARYING HEATING length
#gw200, 5000, 0.0, 0.41, 1.6, 20, 230, 52, 1800, 2, 0, 1, 1, 1, 1
#gw201, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 1, 1, 1
#gw202, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
# DIFFERENT HEATING CABLE COMBINATION TESTS
#gw203, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 1, 0, 0
#gw204, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 0, 1
#gw205, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 0, 1, 1, 0
#gw206, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 0, 1, 0, 1
#gw207, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 0, 0, 1, 1
#gw208, 5000, 0.0, 0.41, 1.6, 20, 230, 14, 1800, 2, 0, 1, 1, 0, 0
# ZERO FLOW VARYING thermal bulk_conductivity for literature range for saturated sand (1 - 3 W/m/K)
#gw300, 5000, 0.0, 0.41, 1.0, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw301, 5000, 0.0, 0.41, 1.2, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw302, 5000, 0.0, 0.41, 1.4, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw303, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw304, 5000, 0.0, 0.41, 1.8, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw305, 5000, 0.0, 0.41, 2.0, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw306, 5000, 0.0, 0.41, 2.2, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw307, 5000, 0.0, 0.41, 2.4, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw308, 5000, 0.0, 0.41, 2.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw309, 5000, 0.0, 0.41, 2.8, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0 
#gw310, 5000, 0.0, 0.41, 3.0, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0  
# redo part of the gw flow
#gw401, 5000, 0.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw402, 5000, 1.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw403, 5000, 2.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
#gw404, 5000, 3.0, 0.41, 1.6, 20, 230, 28, 1800, 2, 0, 1, 0, 1, 0
