FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:10:41:40 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md9.pde  10:41:40 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md9_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:08|     0:38| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:16|     1:21| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:29|     2:26| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:37|     3:11| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:45|     3:52| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:51|     4:29| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    0:58|     5:05| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    1:05|     5:41| STEP FAILED at Dt= 0.003906. RETRY at Dt= 0.001953
 +    1:11|     6:14| Step 2 Time= 0.003906 Dt= 0.001378 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.900e-6 MAX ERR= 5.543e-6 TIME ERR(V1 )= 0.004016 Lanczos/DInv=(367) MEM(KiB)=266597
 +    1:12|     6:22| Step 3 Time= 0.005285 Dt= 0.001378 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.667e-6 MAX ERR= 7.769e-6 TIME ERR(V1 )= 2.128e-4 Lanczos/DInv=(114) MEM(KiB)=266601
 +    1:14|     6:31| Step 4 Time= 0.006870 Dt= 0.001585 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.550e-6 MAX ERR= 1.033e-5 TIME ERR(V1 )= 3.719e-4 Lanczos/DInv=(250) MEM(KiB)=266601
 +    1:15|     6:39| Step 5 Time= 0.008621 Dt= 0.001751 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.525e-6 MAX ERR= 1.316e-5 TIME ERR(V1 )= 8.334e-6 Lanczos/DInv=(109) MEM(KiB)=266601
 +    1:17|     6:46| Step 6 Time= 0.010810 Dt= 0.002189 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.743e-6 MAX ERR= 1.669e-5 TIME ERR(V1 )= 1.264e-5 Lanczos/DInv=(108) MEM(KiB)=266601
 +    1:18|     6:52| Step 7 Time= 0.013546 Dt= 0.002736 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.266e-6 MAX ERR= 2.111e-5 TIME ERR(V1 )= 2.985e-5 Lanczos/DInv=(106) MEM(KiB)=266601
 +    1:20|     7:00| Step 8 Time= 0.016966 Dt= 0.003420 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.167e-6 MAX ERR= 2.662e-5 TIME ERR(V1 )= 5.039e-5 Lanczos/DInv=(122) MEM(KiB)=266601
 +    1:21|     7:07| Step 9 Time= 0.021241 Dt= 0.004275 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.154e-5 MAX ERR= 3.351e-5 TIME ERR(V1 )= 7.775e-5 Lanczos/DInv=(94) MEM(KiB)=266601
 +    1:23|     7:15| Step 10 Time= 0.026585 Dt= 0.005344 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.450e-5 MAX ERR= 4.211e-5 TIME ERR(V1 )= 1.160e-4 Lanczos/DInv=(128) MEM(KiB)=266602
 +    1:24|     7:22| Step 11 Time= 0.033265 Dt= 0.006680 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.820e-5 MAX ERR= 5.285e-5 TIME ERR(V1 )= 1.706e-4 Lanczos/DInv=(95) MEM(KiB)=266602
 +    1:25|     7:28| Step 12 Time= 0.041469 Dt= 0.008204 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.273e-5 MAX ERR= 6.601e-5 TIME ERR(V1 )= 2.375e-4 Lanczos/DInv=(91) MEM(KiB)=266602
 +    1:27|     7:36| Step 13 Time= 0.050828 Dt= 0.009359 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.788e-5 MAX ERR= 8.099e-5 TIME ERR(V1 )= 2.726e-4 Lanczos/DInv=(137) MEM(KiB)=266602
 +    1:28|     7:43| Step 14 Time= 0.061395 Dt= 0.010567 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.368e-5 MAX ERR= 9.786e-5 TIME ERR(V1 )= 3.075e-4 Lanczos/DInv=(117) MEM(KiB)=266602
 +    1:30|     7:51| Step 15 Time= 0.073224 Dt= 0.011829 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.015e-5 MAX ERR= 1.167e-4 TIME ERR(V1 )= 3.349e-4 Lanczos/DInv=(154) MEM(KiB)=266602
 +    1:31|     7:59| Step 16 Time= 0.086386 Dt= 0.013162 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.733e-5 MAX ERR= 1.376e-4 TIME ERR(V1 )= 3.600e-4 Lanczos/DInv=(152) MEM(KiB)=266602
 +    1:33|     8:07| Step 17 Time= 0.100956 Dt= 0.014571 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.524e-5 MAX ERR= 1.606e-4 TIME ERR(V1 )= 3.848e-4 Lanczos/DInv=(157) MEM(KiB)=266602
 +    1:34|     8:16| Step 18 Time= 0.117012 Dt= 0.016056 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.391e-5 MAX ERR= 1.859e-4 TIME ERR(V1 )= 3.445e-4 Lanczos/DInv=(166) MEM(KiB)=266602
