FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:38:12 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

 +    1:37|     8:36| Step 21 Time= 0.304019 Dt= 0.039172 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.921e-4 MAX ERR= 5.505e-4 TIME ERR(V1 )= 2.504e-4 Lanczos/DInv=(339) MEM(KiB)=266602
 +    1:39|     8:46| Step 22 Time= 0.348527 Dt= 0.044508 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.189e-4 MAX ERR= 6.283e-4 TIME ERR(V1 )= 2.495e-4 Lanczos/DInv=(258) MEM(KiB)=266602
 +    1:42|     8:59| Step 23 Time= 0.399111 Dt= 0.050584 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.489e-4 MAX ERR= 7.154e-4 TIME ERR(V1 )= 2.494e-4 Lanczos/DInv=(408) MEM(KiB)=266602
 +    1:44|     9:12| Step 24 Time= 0.456601 Dt= 0.057491 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.824e-4 MAX ERR= 8.129e-4 TIME ERR(V1 )= 2.495e-4 Lanczos/DInv=(379) MEM(KiB)=266602
 +    1:47|     9:26| Step 25 Time= 0.521942 Dt= 0.065340 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.196e-4 MAX ERR= 9.219e-4 TIME ERR(V1 )= 2.493e-4 Lanczos/DInv=(442) MEM(KiB)=266602
 +    1:49|     9:40| Step 26 Time= 0.596208 Dt= 0.074266 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.610e-4 MAX ERR= 0.001043 TIME ERR(V1 )= 2.487e-4 Lanczos/DInv=(468) MEM(KiB)=266602
 +    1:52|     9:55| Step 27 Time= 0.680633 Dt= 0.084425 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.068e-4 MAX ERR= 0.001178 TIME ERR(V1 )= 2.478e-4 Lanczos/DInv=(541) MEM(KiB)=266602
 +    1:55|    10:10| Step 28 Time= 0.776632 Dt= 0.096000 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.574e-4 MAX ERR= 0.001327 TIME ERR(V1 )= 2.471e-4 Lanczos/DInv=(534) MEM(KiB)=266602
 +    1:58|    10:25| Step 29 Time= 0.885818 Dt= 0.109186 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.130e-4 MAX ERR= 0.001492 TIME ERR(V1 )= 2.470e-4 Lanczos/DInv=(574) MEM(KiB)=266602
 +    2:01|    10:42| Step 30 Time= 1.010003 Dt= 0.124185 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.739e-4 MAX ERR= 0.001673 TIME ERR(V1 )= 2.483e-4 Lanczos/DInv=(554) MEM(KiB)=266602
 +    2:04|    10:57| Step 31 Time= 1.151193 Dt= 0.141189 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.403e-4 MAX ERR= 0.001870 TIME ERR(V1 )= 2.515e-4 Lanczos/DInv=(557) MEM(KiB)=266602
 +    2:07|    11:14| Step 32 Time= 1.311562 Dt= 0.160369 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.123e-4 MAX ERR= 0.002085 TIME ERR(V1 )= 2.567e-4 Lanczos/DInv=(601) MEM(KiB)=266603
