FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:07:06 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md1.pde  09:07:06 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md1_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:22|     1:42| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:33|     2:43| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:46|     3:50| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:57|     4:47| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    1:06|     5:39| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    1:15|     6:21| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    1:23|     7:06| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    1:30|     7:45| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.892e-6 MAX ERR= 1.064e-5 TIME ERR(V1 )= 0.004536 Lanczos/DInv=(309) MEM(KiB)=266597
 +    1:31|     7:52| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.348e-6 MAX ERR= 1.743e-5 TIME ERR(V1 )= 2.304e-4 Lanczos/DInv=(153) MEM(KiB)=266601
 +    1:34|     8:04| Step 4 Time= 0.013372 Dt= 0.002966 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.161e-6 MAX ERR= 2.519e-5 TIME ERR(V1 )= 5.329e-4 Lanczos/DInv=(414) MEM(KiB)=266601
 +    1:35|     8:11| Step 5 Time= 0.016570 Dt= 0.003198 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.219e-5 MAX ERR= 3.356e-5 TIME ERR(V1 )= 1.117e-5 Lanczos/DInv=(165) MEM(KiB)=266601
 +    1:36|     8:17| Step 6 Time= 0.020567 Dt= 0.003997 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.598e-5 MAX ERR= 4.402e-5 TIME ERR(V1 )= 1.799e-5 Lanczos/DInv=(112) MEM(KiB)=266601
 +    1:38|     8:23| Step 7 Time= 0.025564 Dt= 0.004997 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.070e-5 MAX ERR= 5.707e-5 TIME ERR(V1 )= 4.427e-5 Lanczos/DInv=(139) MEM(KiB)=266601
 +    1:39|     8:30| Step 8 Time= 0.031810 Dt= 0.006246 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.659e-5 MAX ERR= 7.335e-5 TIME ERR(V1 )= 7.479e-5 Lanczos/DInv=(153) MEM(KiB)=266601
 +    1:40|     8:37| Step 9 Time= 0.039618 Dt= 0.007808 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.392e-5 MAX ERR= 9.365e-5 TIME ERR(V1 )= 1.145e-4 Lanczos/DInv=(150) MEM(KiB)=266601
 +    1:42|     8:44| Step 10 Time= 0.049378 Dt= 0.009760 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.306e-5 MAX ERR= 1.189e-4 TIME ERR(V1 )= 1.693e-4 Lanczos/DInv=(170) MEM(KiB)=266602
 +    1:43|     8:51| Step 11 Time= 0.061363 Dt= 0.011985 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.421e-5 MAX ERR= 1.499e-4 TIME ERR(V1 )= 2.353e-4 Lanczos/DInv=(173) MEM(KiB)=266602
 +    1:45|     8:59| Step 12 Time= 0.075044 Dt= 0.013681 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.687e-5 MAX ERR= 1.850e-4 TIME ERR(V1 )= 2.697e-4 Lanczos/DInv=(159) MEM(KiB)=266602
 +    1:46|     9:08| Step 13 Time= 0.090505 Dt= 0.015460 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 8.107e-5 MAX ERR= 2.245e-4 TIME ERR(V1 )= 3.034e-4 Lanczos/DInv=(214) MEM(KiB)=266602
 +    1:48|     9:15| Step 14 Time= 0.107827 Dt= 0.017323 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.686e-5 MAX ERR= 2.686e-4 TIME ERR(V1 )= 3.300e-4 Lanczos/DInv=(163) MEM(KiB)=266602
 +    1:50|     9:24| Step 15 Time= 0.127121 Dt= 0.019294 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.143e-4 MAX ERR= 3.172e-4 TIME ERR(V1 )= 2.970e-4 Lanczos/DInv=(273) MEM(KiB)=266602
 +    1:51|     9:32| Step 16 Time= 0.148773 Dt= 0.021651 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.337e-4 MAX ERR= 3.715e-4 TIME ERR(V1 )= 2.700e-4 Lanczos/DInv=(240) MEM(KiB)=266602
 +    1:53|     9:42| Step 17 Time= 0.173237 Dt= 0.024465 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.553e-4 MAX ERR= 4.322e-4 TIME ERR(V1 )= 2.532e-4 Lanczos/DInv=(290) MEM(KiB)=266602
 +    1:55|     9:52| Step 18 Time= 0.201012 Dt= 0.027775 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.796e-4 MAX ERR= 5.005e-4 TIME ERR(V1 )= 2.436e-4 Lanczos/DInv=(328) MEM(KiB)=266602
