FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:23:31 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md2.pde  09:23:31 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md2_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:10|     0:42| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:18|     1:24| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:27|     2:12| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:36|     2:57| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:45|     3:47| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:53|     4:31| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    1:01|     5:16| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    1:08|     5:53| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.222e-6 MAX ERR= 8.901e-6 TIME ERR(V1 )= 0.004536 Lanczos/DInv=(290) MEM(KiB)=266597
 +    1:10|     6:02| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.319e-6 MAX ERR= 1.476e-5 TIME ERR(V1 )= 2.165e-4 Lanczos/DInv=(148) MEM(KiB)=266601
 +    1:12|     6:13| Step 4 Time= 0.013386 Dt= 0.002979 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.731e-6 MAX ERR= 2.149e-5 TIME ERR(V1 )= 5.312e-4 Lanczos/DInv=(281) MEM(KiB)=266601
 +    1:13|     6:21| Step 5 Time= 0.016600 Dt= 0.003214 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.033e-5 MAX ERR= 2.875e-5 TIME ERR(V1 )= 1.125e-5 Lanczos/DInv=(125) MEM(KiB)=266601
 +    1:15|     6:31| Step 6 Time= 0.020617 Dt= 0.004017 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.358e-5 MAX ERR= 3.782e-5 TIME ERR(V1 )= 1.848e-5 Lanczos/DInv=(228) MEM(KiB)=266601
 +    1:17|     6:39| Step 7 Time= 0.025638 Dt= 0.005021 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.763e-5 MAX ERR= 4.914e-5 TIME ERR(V1 )= 4.494e-5 Lanczos/DInv=(133) MEM(KiB)=266601
 +    1:18|     6:46| Step 8 Time= 0.031915 Dt= 0.006277 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.269e-5 MAX ERR= 6.327e-5 TIME ERR(V1 )= 7.567e-5 Lanczos/DInv=(129) MEM(KiB)=266601
 +    1:20|     6:54| Step 9 Time= 0.039761 Dt= 0.007846 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.899e-5 MAX ERR= 8.089e-5 TIME ERR(V1 )= 1.158e-4 Lanczos/DInv=(126) MEM(KiB)=266601
 +    1:22|     7:02| Step 10 Time= 0.049568 Dt= 0.009807 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.683e-5 MAX ERR= 1.029e-4 TIME ERR(V1 )= 1.710e-4 Lanczos/DInv=(155) MEM(KiB)=266602
 +    1:23|     7:10| Step 11 Time= 0.061577 Dt= 0.012009 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.640e-5 MAX ERR= 1.297e-4 TIME ERR(V1 )= 2.358e-4 Lanczos/DInv=(181) MEM(KiB)=266602
 +    1:25|     7:19| Step 12 Time= 0.075283 Dt= 0.013706 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.725e-5 MAX ERR= 1.601e-4 TIME ERR(V1 )= 2.703e-4 Lanczos/DInv=(167) MEM(KiB)=266602
 +    1:26|     7:27| Step 13 Time= 0.090770 Dt= 0.015486 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.945e-5 MAX ERR= 1.944e-4 TIME ERR(V1 )= 3.037e-4 Lanczos/DInv=(162) MEM(KiB)=266602
 +    1:28|     7:36| Step 14 Time= 0.108120 Dt= 0.017351 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 8.301e-5 MAX ERR= 2.326e-4 TIME ERR(V1 )= 3.302e-4 Lanczos/DInv=(195) MEM(KiB)=266602
 +    1:30|     7:45| Step 15 Time= 0.127444 Dt= 0.019324 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.800e-5 MAX ERR= 2.748e-4 TIME ERR(V1 )= 3.255e-4 Lanczos/DInv=(189) MEM(KiB)=266602
 +    1:32|     7:54| Step 16 Time= 0.148989 Dt= 0.021544 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.146e-4 MAX ERR= 3.216e-4 TIME ERR(V1 )= 2.903e-4 Lanczos/DInv=(254) MEM(KiB)=266602
 +    1:34|     8:05| Step 17 Time= 0.173205 Dt= 0.024216 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.330e-4 MAX ERR= 3.739e-4 TIME ERR(V1 )= 2.685e-4 Lanczos/DInv=(280) MEM(KiB)=266602
 +    1:36|     8:16| Step 18 Time= 0.200579 Dt= 0.027374 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.537e-4 MAX ERR= 4.324e-4 TIME ERR(V1 )= 2.552e-4 Lanczos/DInv=(279) MEM(KiB)=266602
