FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:10:03:41 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md5.pde  10:03:41 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md5_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:11|     0:51| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:19|     1:35| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:28|     2:25| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:36|     3:09| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:44|     3:51| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:51|     4:30| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    0:58|     5:09| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    1:03|     5:41| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.433e-6 MAX ERR= 4.305e-6 TIME ERR(V1 )= 0.004536 Lanczos/DInv=(253) MEM(KiB)=266597
 +    1:05|     5:48| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.499e-6 MAX ERR= 7.570e-6 TIME ERR(V1 )= 2.084e-4 Lanczos/DInv=(103) MEM(KiB)=266601
 +    1:07|     5:58| Step 4 Time= 0.013394 Dt= 0.002988 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.731e-6 MAX ERR= 1.133e-5 TIME ERR(V1 )= 5.304e-4 Lanczos/DInv=(247) MEM(KiB)=266601
 +    1:08|     6:05| Step 5 Time= 0.016618 Dt= 0.003223 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.060e-6 MAX ERR= 1.539e-5 TIME ERR(V1 )= 1.129e-5 Lanczos/DInv=(93) MEM(KiB)=266601
 +    1:09|     6:13| Step 6 Time= 0.020647 Dt= 0.004029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.719e-6 MAX ERR= 2.046e-5 TIME ERR(V1 )= 1.851e-5 Lanczos/DInv=(133) MEM(KiB)=266601
 +    1:11|     6:20| Step 7 Time= 0.025683 Dt= 0.005036 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 8.793e-6 MAX ERR= 2.679e-5 TIME ERR(V1 )= 4.522e-5 Lanczos/DInv=(109) MEM(KiB)=266601
 +    1:12|     6:27| Step 8 Time= 0.031979 Dt= 0.006296 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.138e-5 MAX ERR= 3.470e-5 TIME ERR(V1 )= 7.622e-5 Lanczos/DInv=(113) MEM(KiB)=266601
 +    1:14|     6:35| Step 9 Time= 0.039848 Dt= 0.007869 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.461e-5 MAX ERR= 4.457e-5 TIME ERR(V1 )= 1.165e-4 Lanczos/DInv=(108) MEM(KiB)=266601
 +    1:15|     6:42| Step 10 Time= 0.049685 Dt= 0.009837 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.864e-5 MAX ERR= 5.688e-5 TIME ERR(V1 )= 1.721e-4 Lanczos/DInv=(135) MEM(KiB)=266602
 +    1:17|     6:50| Step 11 Time= 0.061714 Dt= 0.012029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.356e-5 MAX ERR= 7.191e-5 TIME ERR(V1 )= 2.364e-4 Lanczos/DInv=(111) MEM(KiB)=266602
 +    1:18|     6:57| Step 12 Time= 0.075440 Dt= 0.013726 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.915e-5 MAX ERR= 8.900e-5 TIME ERR(V1 )= 2.708e-4 Lanczos/DInv=(115) MEM(KiB)=266602
 +    1:19|     7:04| Step 13 Time= 0.090947 Dt= 0.015507 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.544e-5 MAX ERR= 1.083e-4 TIME ERR(V1 )= 3.041e-4 Lanczos/DInv=(114) MEM(KiB)=266602
 +    1:21|     7:13| Step 14 Time= 0.108318 Dt= 0.017372 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.243e-5 MAX ERR= 1.295e-4 TIME ERR(V1 )= 3.307e-4 Lanczos/DInv=(187) MEM(KiB)=266602
 +    1:23|     7:22| Step 15 Time= 0.127664 Dt= 0.019346 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.020e-5 MAX ERR= 1.532e-4 TIME ERR(V1 )= 3.807e-4 Lanczos/DInv=(230) MEM(KiB)=266602
 +    1:25|     7:32| Step 16 Time= 0.148998 Dt= 0.021334 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.875e-5 MAX ERR= 1.794e-4 TIME ERR(V1 )= 3.740e-4 Lanczos/DInv=(223) MEM(KiB)=266602
 +    1:27|     7:41| Step 17 Time= 0.172554 Dt= 0.023556 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.814e-5 MAX ERR= 2.081e-4 TIME ERR(V1 )= 3.473e-4 Lanczos/DInv=(262) MEM(KiB)=266602
 +    1:28|     7:51| Step 18 Time= 0.198697 Dt= 0.026143 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.851e-5 MAX ERR= 2.399e-4 TIME ERR(V1 )= 3.130e-4 Lanczos/DInv=(233) MEM(KiB)=266602
