FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:09:51:00 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md4.pde  09:51:00 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md4_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:11|     0:49| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:19|     1:34| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:27|     2:20| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:36|     3:07| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:44|     3:52| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:52|     4:35| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    1:00|     5:16| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    1:06|     5:50| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.137e-6 MAX ERR= 6.090e-6 TIME ERR(V1 )= 0.004536 Lanczos/DInv=(266) MEM(KiB)=266597
 +    1:07|     5:58| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.625e-6 MAX ERR= 1.039e-5 TIME ERR(V1 )= 2.092e-4 Lanczos/DInv=(137) MEM(KiB)=266601
 +    1:10|     6:09| Step 4 Time= 0.013394 Dt= 0.002987 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.342e-6 MAX ERR= 1.536e-5 TIME ERR(V1 )= 5.304e-4 Lanczos/DInv=(413) MEM(KiB)=266601
 +    1:11|     6:17| Step 5 Time= 0.016616 Dt= 0.003222 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.195e-6 MAX ERR= 2.071e-5 TIME ERR(V1 )= 1.129e-5 Lanczos/DInv=(117) MEM(KiB)=266601
 +    1:13|     6:25| Step 6 Time= 0.020644 Dt= 0.004028 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.510e-6 MAX ERR= 2.740e-5 TIME ERR(V1 )= 1.849e-5 Lanczos/DInv=(152) MEM(KiB)=266601
 +    1:14|     6:33| Step 7 Time= 0.025679 Dt= 0.005035 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.240e-5 MAX ERR= 3.575e-5 TIME ERR(V1 )= 4.519e-5 Lanczos/DInv=(120) MEM(KiB)=266601
 +    1:15|     6:40| Step 8 Time= 0.031973 Dt= 0.006294 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.601e-5 MAX ERR= 4.618e-5 TIME ERR(V1 )= 7.618e-5 Lanczos/DInv=(96) MEM(KiB)=266601
 +    1:17|     6:48| Step 9 Time= 0.039840 Dt= 0.007867 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.050e-5 MAX ERR= 5.918e-5 TIME ERR(V1 )= 1.164e-4 Lanczos/DInv=(121) MEM(KiB)=266601
 +    1:18|     6:55| Step 10 Time= 0.049674 Dt= 0.009834 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.611e-5 MAX ERR= 7.541e-5 TIME ERR(V1 )= 1.720e-4 Lanczos/DInv=(126) MEM(KiB)=266602
 +    1:20|     7:04| Step 11 Time= 0.061701 Dt= 0.012027 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.294e-5 MAX ERR= 9.517e-5 TIME ERR(V1 )= 2.364e-4 Lanczos/DInv=(160) MEM(KiB)=266602
 +    1:21|     7:11| Step 12 Time= 0.075426 Dt= 0.013724 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.071e-5 MAX ERR= 1.177e-4 TIME ERR(V1 )= 2.707e-4 Lanczos/DInv=(144) MEM(KiB)=266602
 +    1:23|     7:20| Step 13 Time= 0.090931 Dt= 0.015505 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.944e-5 MAX ERR= 1.430e-4 TIME ERR(V1 )= 3.041e-4 Lanczos/DInv=(154) MEM(KiB)=266602
 +    1:24|     7:28| Step 14 Time= 0.108301 Dt= 0.017370 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.918e-5 MAX ERR= 1.713e-4 TIME ERR(V1 )= 3.305e-4 Lanczos/DInv=(150) MEM(KiB)=266602
 +    1:26|     7:37| Step 15 Time= 0.127645 Dt= 0.019345 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.996e-5 MAX ERR= 2.026e-4 TIME ERR(V1 )= 3.547e-4 Lanczos/DInv=(247) MEM(KiB)=266602
 +    1:28|     7:47| Step 16 Time= 0.149083 Dt= 0.021438 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 8.184e-5 MAX ERR= 2.372e-4 TIME ERR(V1 )= 3.419e-4 Lanczos/DInv=(249) MEM(KiB)=266602
 +    1:30|     7:57| Step 17 Time= 0.172901 Dt= 0.023818 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.493e-5 MAX ERR= 2.753e-4 TIME ERR(V1 )= 3.057e-4 Lanczos/DInv=(264) MEM(KiB)=266602
 +    1:32|     8:07| Step 18 Time= 0.199574 Dt= 0.026673 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.095e-4 MAX ERR= 3.178e-4 TIME ERR(V1 )= 2.830e-4 Lanczos/DInv=(297) MEM(KiB)=266602
