FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:10:15:47 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md6.pde  10:15:47 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md6_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:09|     0:42| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:17|     1:23| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:24|     2:02| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:31|     2:40| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:38|     3:16| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:44|     3:52| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    0:50|     4:25| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    0:55|     4:55| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.162e-6 MAX ERR= 3.826e-6 TIME ERR(V1 )= 0.004536 Lanczos/DInv=(225) MEM(KiB)=267045
 +    0:57|     5:02| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.021e-6 MAX ERR= 6.648e-6 TIME ERR(V1 )= 2.083e-4 Lanczos/DInv=(97) MEM(KiB)=267049
 +    0:58|     5:11| Step 4 Time= 0.013395 Dt= 0.002988 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.014e-6 MAX ERR= 9.900e-6 TIME ERR(V1 )= 5.304e-4 Lanczos/DInv=(213) MEM(KiB)=267049
 +    1:00|     5:18| Step 5 Time= 0.016618 Dt= 0.003223 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.087e-6 MAX ERR= 1.341e-5 TIME ERR(V1 )= 1.129e-5 Lanczos/DInv=(106) MEM(KiB)=267049
 +    1:01|     5:26| Step 6 Time= 0.020647 Dt= 0.004029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.428e-6 MAX ERR= 1.779e-5 TIME ERR(V1 )= 1.851e-5 Lanczos/DInv=(117) MEM(KiB)=267049
 +    1:03|     5:34| Step 7 Time= 0.025684 Dt= 0.005036 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.102e-6 MAX ERR= 2.325e-5 TIME ERR(V1 )= 4.522e-5 Lanczos/DInv=(100) MEM(KiB)=267049
 +    1:04|     5:41| Step 8 Time= 0.031979 Dt= 0.006296 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.194e-6 MAX ERR= 3.008e-5 TIME ERR(V1 )= 7.623e-5 Lanczos/DInv=(101) MEM(KiB)=267049
 +    1:06|     5:48| Step 9 Time= 0.039849 Dt= 0.007870 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.180e-5 MAX ERR= 3.861e-5 TIME ERR(V1 )= 1.165e-4 Lanczos/DInv=(102) MEM(KiB)=267049
 +    1:07|     5:56| Step 10 Time= 0.049686 Dt= 0.009837 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.506e-5 MAX ERR= 4.925e-5 TIME ERR(V1 )= 1.721e-4 Lanczos/DInv=(104) MEM(KiB)=267050
 +    1:09|     6:04| Step 11 Time= 0.061715 Dt= 0.012029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.904e-5 MAX ERR= 6.223e-5 TIME ERR(V1 )= 2.364e-4 Lanczos/DInv=(106) MEM(KiB)=267050
 +    1:10|     6:12| Step 12 Time= 0.075441 Dt= 0.013726 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.356e-5 MAX ERR= 7.700e-5 TIME ERR(V1 )= 2.708e-4 Lanczos/DInv=(104) MEM(KiB)=267050
 +    1:12|     6:20| Step 13 Time= 0.090947 Dt= 0.015507 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.866e-5 MAX ERR= 9.363e-5 TIME ERR(V1 )= 3.041e-4 Lanczos/DInv=(110) MEM(KiB)=267050
 +    1:13|     6:28| Step 14 Time= 0.108319 Dt= 0.017372 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.435e-5 MAX ERR= 1.122e-4 TIME ERR(V1 )= 3.305e-4 Lanczos/DInv=(143) MEM(KiB)=267050
 +    1:15|     6:37| Step 15 Time= 0.127666 Dt= 0.019347 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.071e-5 MAX ERR= 1.330e-4 TIME ERR(V1 )= 3.548e-4 Lanczos/DInv=(184) MEM(KiB)=267050
 +    1:17|     6:46| Step 16 Time= 0.149106 Dt= 0.021440 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.770e-5 MAX ERR= 1.559e-4 TIME ERR(V1 )= 3.804e-4 Lanczos/DInv=(221) MEM(KiB)=267050
 +    1:18|     6:56| Step 17 Time= 0.172750 Dt= 0.023645 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.537e-5 MAX ERR= 1.809e-4 TIME ERR(V1 )= 4.013e-4 Lanczos/DInv=(195) MEM(KiB)=267050
 +    1:20|     7:05| Step 18 Time= 0.198732 Dt= 0.025981 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.378e-5 MAX ERR= 2.084e-4 TIME ERR(V1 )= 3.509e-4 Lanczos/DInv=(220) MEM(KiB)=267050
