FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:10:27:16 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md7.pde  10:27:16 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md7_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:08|     0:32| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:13|     1:03| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:19|     1:34| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:23|     1:58| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:28|     2:23| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:33|     2:49| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    0:37|     3:15| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    0:41|     3:38| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.211e-6 MAX ERR= 4.064e-6 TIME ERR(V1 )= 0.004536 Lanczos/DInv=(142) MEM(KiB)=266597
 +    0:43|     3:44| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.099e-6 MAX ERR= 7.015e-6 TIME ERR(V1 )= 2.083e-4 Lanczos/DInv=(86) MEM(KiB)=266601
 +    0:44|     3:52| Step 4 Time= 0.013395 Dt= 0.002988 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.125e-6 MAX ERR= 1.041e-5 TIME ERR(V1 )= 5.304e-4 Lanczos/DInv=(131) MEM(KiB)=266601
 +    0:45|     3:58| Step 5 Time= 0.016618 Dt= 0.003223 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.234e-6 MAX ERR= 1.407e-5 TIME ERR(V1 )= 1.129e-5 Lanczos/DInv=(80) MEM(KiB)=266601
 +    0:47|     4:04| Step 6 Time= 0.020647 Dt= 0.004029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.619e-6 MAX ERR= 1.864e-5 TIME ERR(V1 )= 1.851e-5 Lanczos/DInv=(81) MEM(KiB)=266601
 +    0:48|     4:11| Step 7 Time= 0.025684 Dt= 0.005036 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.349e-6 MAX ERR= 2.435e-5 TIME ERR(V1 )= 4.522e-5 Lanczos/DInv=(67) MEM(KiB)=266601
 +    0:49|     4:17| Step 8 Time= 0.031979 Dt= 0.006296 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.508e-6 MAX ERR= 3.147e-5 TIME ERR(V1 )= 7.622e-5 Lanczos/DInv=(81) MEM(KiB)=266601
 +    0:50|     4:24| Step 9 Time= 0.039849 Dt= 0.007870 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.220e-5 MAX ERR= 4.034e-5 TIME ERR(V1 )= 1.165e-4 Lanczos/DInv=(67) MEM(KiB)=266601
 +    0:52|     4:30| Step 10 Time= 0.049686 Dt= 0.009837 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.556e-5 MAX ERR= 5.141e-5 TIME ERR(V1 )= 1.721e-4 Lanczos/DInv=(68) MEM(KiB)=266602
 +    0:53|     4:37| Step 11 Time= 0.061714 Dt= 0.012029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.965e-5 MAX ERR= 6.489e-5 TIME ERR(V1 )= 2.364e-4 Lanczos/DInv=(71) MEM(KiB)=266602
 +    0:54|     4:43| Step 12 Time= 0.075441 Dt= 0.013726 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.431e-5 MAX ERR= 8.021e-5 TIME ERR(V1 )= 2.708e-4 Lanczos/DInv=(81) MEM(KiB)=266602
 +    0:55|     4:50| Step 13 Time= 0.090947 Dt= 0.015507 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.954e-5 MAX ERR= 9.743e-5 TIME ERR(V1 )= 3.041e-4 Lanczos/DInv=(80) MEM(KiB)=266602
 +    0:57|     4:58| Step 14 Time= 0.108319 Dt= 0.017372 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.537e-5 MAX ERR= 1.166e-4 TIME ERR(V1 )= 3.305e-4 Lanczos/DInv=(124) MEM(KiB)=266602
 +    0:58|     5:05| Step 15 Time= 0.127666 Dt= 0.019347 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.183e-5 MAX ERR= 1.379e-4 TIME ERR(V1 )= 3.548e-4 Lanczos/DInv=(128) MEM(KiB)=266602
 +    1:00|     5:13| Step 16 Time= 0.149106 Dt= 0.021440 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.895e-5 MAX ERR= 1.612e-4 TIME ERR(V1 )= 3.787e-4 Lanczos/DInv=(137) MEM(KiB)=266602
 +    1:02|     5:21| Step 17 Time= 0.172758 Dt= 0.023652 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.674e-5 MAX ERR= 1.868e-4 TIME ERR(V1 )= 4.031e-4 Lanczos/DInv=(152) MEM(KiB)=266602
 +    1:03|     5:29| Step 18 Time= 0.198739 Dt= 0.025982 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.524e-5 MAX ERR= 2.147e-4 TIME ERR(V1 )= 3.992e-4 Lanczos/DInv=(137) MEM(KiB)=266602
