FlexPDE Version 8.01n/W64  12:40:33 Mar  4 2025  Time:10:35:22 10/19/25  Microsoft Windows [Version 10.0.26100.6584]
Format:
 +   wall | charged | 
 +  clock |   CPU   | ...progress data...).

START C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md8.pde  10:35:22 10/19/25
 +    0:01|     0:01| Mesh Generation Complete 
 +    0:01|     0:01| Mesh dump written to C:\Users\nieboer\gitclones\FusionFiber\modelling\nozzlefiber\md8_initialmesh.xfr 
 +    0:01|     0:01|  8 Threads  Cubic (3)  speed  
 +    0:06|     0:21| STEP FAILED at Dt= 0.500000. RETRY at Dt= 0.250000
 +    0:11|     0:40| STEP FAILED at Dt= 0.250000. RETRY at Dt= 0.125000
 +    0:15|     0:59| STEP FAILED at Dt= 0.125000. RETRY at Dt= 0.062500
 +    0:19|     1:17| STEP FAILED at Dt= 0.062500. RETRY at Dt= 0.031250
 +    0:23|     1:34| STEP FAILED at Dt= 0.031250. RETRY at Dt= 0.015625
 +    0:27|     1:52| STEP FAILED at Dt= 0.015625. RETRY at Dt= 0.007813
 +    0:31|     2:10| STEP FAILED at Dt= 0.007813. RETRY at Dt= 0.003906
 +    0:35|     2:27| Step 2 Time= 0.007813 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.175e-7 MAX ERR= 1.768e-6 TIME ERR(V1 )= 0.004536 Orthomin/ILU=(31) MEM(KiB)=267133
 +    0:36|     2:33| Step 3 Time= 0.010406 Dt= 0.002594 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 9.912e-7 MAX ERR= 2.570e-6 TIME ERR(V1 )= 2.083e-4 Orthomin/ILU=(29) MEM(KiB)=267138
 +    0:38|     2:39| Step 4 Time= 0.013395 Dt= 0.002988 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.268e-6 MAX ERR= 3.369e-6 TIME ERR(V1 )= 5.304e-4 Orthomin/ILU=(34) MEM(KiB)=267138
 +    0:39|     2:45| Step 5 Time= 0.016618 Dt= 0.003223 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.536e-6 MAX ERR= 4.127e-6 TIME ERR(V1 )= 1.129e-5 Orthomin/ILU=(29) MEM(KiB)=267138
 +    0:40|     2:50| Step 6 Time= 0.020647 Dt= 0.004029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 1.837e-6 MAX ERR= 4.971e-6 TIME ERR(V1 )= 1.851e-5 Orthomin/ILU=(28) MEM(KiB)=267138
 +    0:41|     2:56| Step 7 Time= 0.025684 Dt= 0.005036 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.174e-6 MAX ERR= 5.907e-6 TIME ERR(V1 )= 4.522e-5 Orthomin/ILU=(26) MEM(KiB)=267138
 +    0:43|     3:02| Step 8 Time= 0.031979 Dt= 0.006296 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.548e-6 MAX ERR= 6.940e-6 TIME ERR(V1 )= 7.622e-5 Orthomin/ILU=(25) MEM(KiB)=267138
 +    0:44|     3:08| Step 9 Time= 0.039849 Dt= 0.007869 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 2.960e-6 MAX ERR= 8.073e-6 TIME ERR(V1 )= 1.165e-4 Orthomin/ILU=(25) MEM(KiB)=267138
 +    0:45|     3:13| Step 10 Time= 0.049685 Dt= 0.009837 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.413e-6 MAX ERR= 9.315e-6 TIME ERR(V1 )= 1.721e-4 Orthomin/ILU=(25) MEM(KiB)=267138
 +    0:46|     3:19| Step 11 Time= 0.061714 Dt= 0.012029 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 3.901e-6 MAX ERR= 1.065e-5 TIME ERR(V1 )= 2.364e-4 Orthomin/ILU=(26) MEM(KiB)=267138
 +    0:48|     3:25| Step 12 Time= 0.075441 Dt= 0.013726 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.400e-6 MAX ERR= 1.201e-5 TIME ERR(V1 )= 2.708e-4 Orthomin/ILU=(26) MEM(KiB)=267138
 +    0:49|     3:30| Step 13 Time= 0.090947 Dt= 0.015507 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 4.911e-6 MAX ERR= 1.340e-5 TIME ERR(V1 )= 3.041e-4 Orthomin/ILU=(26) MEM(KiB)=267138
 +    0:50|     3:35| Step 14 Time= 0.108319 Dt= 0.017372 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.438e-6 MAX ERR= 1.483e-5 TIME ERR(V1 )= 3.305e-4 Orthomin/ILU=(26) MEM(KiB)=267138
 +    0:51|     3:41| Step 15 Time= 0.127666 Dt= 0.019347 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 5.984e-6 MAX ERR= 1.630e-5 TIME ERR(V1 )= 3.548e-4 Orthomin/ILU=(25) MEM(KiB)=267138
 +    0:53|     3:46| Step 16 Time= 0.149106 Dt= 0.021440 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 6.553e-6 MAX ERR= 1.783e-5 TIME ERR(V1 )= 3.787e-4 Orthomin/ILU=(25) MEM(KiB)=267138
 +    0:54|     3:53| Step 17 Time= 0.172758 Dt= 0.023652 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.146e-6 MAX ERR= 1.941e-5 TIME ERR(V1 )= 4.031e-4 Orthomin/ILU=(31) MEM(KiB)=267138
 +    0:55|     3:59| Step 18 Time= 0.198739 Dt= 0.025982 Nodes=10583 Cells=21084 DOF=94999 RMS ERR= 7.763e-6 MAX ERR= 2.106e-5 TIME ERR(V1 )= 4.279e-4 Orthomin/ILU=(34) MEM(KiB)=267138
